child_doid,parent_id,doid,child_name,disease_name,parent_mondoid,,,,
DOID:11723,DOID:9884,DOID:11723,Duchenne muscular dystrophy,muscular dystrophy,MONDO:0020121,,,,
DOID:11720,DOID:9884,DOID:11720,distal muscular dystrophy,muscular dystrophy,MONDO:0020122,,,,
DOID:11727,DOID:9884,DOID:11727,facioscapulohumeral muscular dystrophy,muscular dystrophy,MONDO:0020123,,,,
DOID:11726,DOID:9884,DOID:11726,Emery-Dreifuss muscular dystrophy,muscular dystrophy,MONDO:0020124,,,,
DOID:11724,DOID:9884,DOID:11724,limb-girdle muscular dystrophy,muscular dystrophy,MONDO:0020125,,,,
DOID:450,DOID:9884,DOID:450,myotonic disease,muscular dystrophy,MONDO:0020126,,,,
DOID:9883,DOID:9884,DOID:9883,Becker muscular dystrophy,muscular dystrophy,MONDO:0020127,,,,
DOID:0050557,DOID:9884,DOID:0050557,congenital muscular dystrophy,muscular dystrophy,MONDO:0020128,,,,
DOID:0060253,DOID:9884,DOID:0060253,scapuloperoneal myopathy,muscular dystrophy,MONDO:0020129,,,,
DOID:11719,DOID:9884,DOID:11719,oculopharyngeal muscular dystrophy,muscular dystrophy,MONDO:0020130,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 
