"id","protein_id","tclin_id","direction","distance"
6114,7069,6975,upstream,1
6115,7069,6886,upstream,1
6116,7069,6885,upstream,1
6117,7069,19336,upstream,1
6118,7069,6971,upstream,1
6119,7069,6975,downstream,1
6120,7069,19336,downstream,1
6121,7069,4422,downstream,1
6122,7069,6886,downstream,1
6123,7069,6971,downstream,1
6124,7069,6885,downstream,1
8733,11193,3980,downstream,1
8734,11193,19336,downstream,1
9714,13093,6975,upstream,1
9715,13093,19336,upstream,1
9716,13093,1639,upstream,1
9717,13093,6971,upstream,1
9718,13093,4422,upstream,1
9719,13093,5845,downstream,1
9720,13093,1639,downstream,1
13085,17836,16041,upstream,4
